,Start date,Sleep quality,Drank coffee,Drank tea,Worked out,Stressful day,Sleep cycle,Sleep cycle offset,Start time
167,2015-11-05,77,True,True,True,False,5,22,2
168,2015-11-07,93,True,True,True,False,5,24,4
169,2015-11-09,88,True,True,True,False,5,11,2
170,2015-11-10,83,True,True,True,False,5,2,3
171,2015-11-11,72,True,True,False,False,4,83,3
172,2015-11-13,96,True,True,False,False,5,76,3
173,2015-11-15,72,True,True,False,False,5,43,2
174,2015-11-18,80,True,True,True,False,4,83,2
175,2015-11-22,83,False,True,False,False,5,3,2
176,2015-11-24,87,True,True,True,False,5,27,3
177,2015-11-26,81,True,True,True,False,5,25,2
178,2015-11-29,68,False,True,False,False,5,29,2
179,2015-11-30,64,True,True,True,False,5,85,1
180,2015-12-01,84,True,True,True,False,4,77,3
181,2015-12-06,86,True,True,False,False,4,80,2
182,2015-12-07,86,False,True,True,True,5,10,1
183,2015-12-08,79,True,True,True,True,4,88,2
184,2015-12-09,93,False,True,True,True,5,43,2
185,2015-12-13,77,True,False,False,False,5,44,4
186,2015-12-13,80,True,False,False,False,5,32,2
187,2015-12-15,75,True,True,True,False,5,7,3
188,2015-12-16,84,True,True,False,True,4,80,2
189,2015-12-17,100,True,True,True,False,5,67,1
190,2015-12-20,72,True,True,True,False,5,30,2
191,2015-12-21,80,True,False,True,False,4,83,2
192,2015-12-22,82,True,True,True,False,5,31,2
193,2015-12-23,79,True,True,False,False,4,87,3
194,2015-12-29,76,True,False,False,False,5,46,3
195,2016-01-01,79,True,True,False,False,5,63,4
196,2016-01-02,85,True,True,False,False,5,54,4
197,2016-01-03,69,True,False,False,False,5,21,2
198,2016-01-04,74,True,True,False,True,4,88,2
199,2016-01-05,66,True,False,True,False,5,31,2
200,2016-01-13,72,True,True,False,True,5,5,3
201,2016-01-14,73,True,True,True,False,4,77,2
202,2016-01-17,76,True,True,True,False,4,89,2
203,2016-01-18,78,True,True,False,False,5,8,2
204,2016-01-19,75,True,True,True,False,5,18,3
205,2016-01-20,77,True,True,False,False,6,15,1
206,2016-01-21,79,True,False,False,False,5,80,2
207,2016-01-22,79,True,False,True,False,6,57,2
208,2016-01-24,85,True,True,True,False,5,53,2
209,2016-01-25,88,True,False,False,False,5,40,2
210,2016-01-26,83,True,True,True,False,4,89,3
211,2016-01-27,84,True,True,True,False,4,80,2
212,2016-01-28,76,True,True,True,False,4,75,2
213,2016-01-29,88,True,True,True,False,5,49,2
214,2016-01-31,78,True,False,False,False,4,80,3
215,2016-02-01,82,True,True,True,False,4,85,2
216,2016-02-02,72,True,False,True,False,5,3,2
217,2016-02-03,79,True,False,True,False,4,86,3
218,2016-02-04,74,True,False,True,True,5,65,2
219,2016-02-05,84,True,False,False,False,5,20,4
220,2016-02-06,91,False,True,False,False,5,70,3
221,2016-02-08,68,True,True,False,False,4,61,5
222,2016-02-08,77,True,True,True,False,5,26,3
223,2016-02-09,66,True,False,True,False,5,3,2
224,2016-02-14,84,True,False,False,True,5,15,2
225,2016-02-15,76,True,False,True,False,4,78,2
226,2016-02-16,70,True,False,True,False,4,72,2
227,2016-02-17,90,True,False,True,True,5,81,2
228,2016-02-18,77,True,True,True,False,5,9,3
229,2016-02-20,69,True,False,False,False,5,58,3
230,2016-02-22,85,True,False,False,False,5,49,2
231,2016-02-23,94,True,False,True,False,5,36,2
232,2016-02-24,88,False,True,True,False,5,14,2
233,2016-02-27,92,True,False,False,False,5,47,4
234,2016-02-28,64,False,True,False,False,4,85,2
235,2016-02-29,78,False,True,True,False,5,56,2
236,2016-03-02,95,True,True,True,False,5,36,2
237,2016-03-03,90,False,True,True,False,5,46,2
238,2016-03-05,98,False,True,False,False,5,41,3
239,2016-03-06,70,True,True,False,False,4,71,3
240,2016-03-07,75,False,True,True,False,5,2,3
241,2016-03-08,91,False,True,True,False,5,74,2
242,2016-03-09,79,False,True,False,False,4,69,3
243,2016-03-10,92,False,True,True,False,5,28,2
244,2016-03-12,83,False,True,False,False,4,67,4
245,2016-03-14,79,False,True,True,False,4,89,2
246,2016-03-15,85,True,True,True,False,5,13,3
247,2016-03-16,90,True,False,True,False,5,69,2
248,2016-03-17,98,True,True,False,False,5,52,3
249,2016-03-18,87,True,False,False,False,6,30,2
250,2016-03-20,80,True,False,False,False,6,13,2
251,2016-03-21,80,True,False,False,False,5,84,3
252,2016-03-22,80,True,True,False,False,5,86,1
253,2016-03-23,65,True,True,True,False,4,73,2
254,2016-03-27,82,True,False,False,False,5,31,3
255,2016-03-29,66,True,False,True,False,4,73,3
256,2016-03-30,58,True,True,True,False,4,86,3
257,2016-03-31,89,True,True,True,False,5,12,3
258,2016-04-02,86,True,False,False,False,6,47,1
259,2016-04-03,67,True,False,False,False,5,69,2
260,2016-04-04,62,True,False,False,False,6,5,1
261,2016-04-05,81,True,False,True,False,6,11,1
262,2016-04-07,81,True,True,True,False,5,30,2
263,2016-04-09,94,True,True,True,False,6,0,3
264,2016-04-10,67,False,True,False,False,4,72,2
265,2016-04-11,82,True,True,True,True,4,79,3
266,2016-04-12,85,True,True,True,False,5,3,2
267,2016-04-13,77,True,True,True,False,5,15,2
268,2016-04-14,94,True,True,True,True,5,71,2
269,2016-04-15,81,True,True,False,False,5,77,3
270,2016-04-17,75,True,True,False,False,5,82,2
271,2016-04-19,79,True,True,True,False,5,89,1
272,2016-04-20,81,True,True,True,False,5,39,1
273,2016-04-21,79,False,False,False,False,5,10,2
274,2016-04-23,65,True,True,True,False,4,67,5
275,2016-04-24,81,False,True,False,False,5,13,3
276,2016-04-25,87,True,True,True,False,5,1,2
277,2016-04-26,74,True,True,True,False,5,2,3
278,2016-04-27,92,True,True,True,False,5,31,2
279,2016-04-28,95,True,True,True,False,5,23,2
280,2016-04-29,81,True,True,True,False,4,69,3
281,2016-05-01,95,True,False,True,False,5,77,1
282,2016-05-02,85,True,False,True,False,5,59,2
283,2016-05-03,79,True,False,True,False,5,31,2
284,2016-05-04,83,True,True,True,False,5,43,2
285,2016-05-05,89,True,False,False,False,5,24,2
286,2016-05-06,87,True,True,True,True,5,30,3
287,2016-05-07,93,True,True,False,False,5,21,3
288,2016-05-09,83,True,True,True,False,5,0,2
289,2016-05-11,80,True,True,True,False,5,11,3
290,2016-05-13,100,True,True,True,False,5,75,3
291,2016-05-15,81,False,True,False,False,5,63,2
292,2016-05-16,85,True,False,True,False,5,70,2
293,2016-05-17,83,True,False,True,False,6,16,1
294,2016-05-18,79,True,False,False,True,4,74,2
295,2016-05-20,91,True,False,True,False,5,49,3
296,2016-05-24,90,True,False,True,False,5,5,2
297,2016-05-25,88,True,False,True,False,5,39,2
298,2016-05-26,89,True,False,True,False,5,41,2
299,2016-05-29,100,True,False,False,False,5,66,2
300,2016-05-30,72,True,False,False,True,5,30,2
301,2016-05-31,70,True,False,True,False,4,88,3
302,2016-06-05,71,False,False,True,False,4,78,3
303,2016-06-08,76,True,False,True,False,5,50,2
304,2016-06-09,87,True,False,True,False,5,57,2
305,2016-06-11,93,False,True,False,False,6,58,3
306,2016-06-12,77,False,True,False,False,5,9,3
307,2016-06-13,82,False,True,True,False,5,52,2
308,2016-06-14,68,True,True,False,False,5,28,3
309,2016-06-16,83,True,True,True,False,5,24,2
310,2016-06-17,79,True,True,True,False,5,24,3
311,2016-06-20,83,True,False,True,False,4,75,3
312,2016-06-21,83,True,False,True,False,4,89,2
313,2016-06-22,82,True,False,True,False,5,11,3
314,2016-06-23,86,True,False,True,False,5,30,3
315,2016-06-26,64,True,False,False,False,5,44,2
316,2016-06-28,77,True,False,True,False,4,85,3
317,2016-06-29,83,True,False,True,True,4,83,3
318,2016-07-01,90,True,False,False,False,5,30,4
319,2016-07-03,86,False,False,False,False,5,42,2
320,2016-07-04,85,True,False,True,False,5,41,2
321,2016-07-05,75,True,False,True,True,4,76,3
322,2016-07-06,92,True,False,True,False,5,32,2
323,2016-07-07,96,True,False,True,False,5,42,3
324,2016-07-10,85,True,False,False,False,5,29,2
325,2016-07-11,99,True,False,True,False,5,80,1
326,2016-07-12,96,True,False,True,False,5,43,2
327,2016-07-13,78,True,False,True,False,4,62,3
328,2016-07-14,84,True,False,True,True,5,5,3
329,2016-07-16,87,True,False,True,False,5,17,5
330,2016-07-16,98,True,False,True,False,5,40,3
331,2016-07-17,76,True,False,True,False,5,7,2
332,2016-07-18,77,True,False,True,True,4,68,3
333,2016-07-19,77,True,False,True,False,4,74,3
334,2016-07-20,82,True,False,True,False,5,0,2
335,2016-07-21,87,True,False,True,False,5,22,3
336,2016-07-22,99,True,False,False,False,6,35,2
337,2016-07-23,74,True,False,False,False,5,39,4
338,2016-07-24,81,True,False,True,False,4,88,3
339,2016-07-25,86,True,False,True,False,5,37,2
340,2016-07-26,84,True,False,True,False,4,67,3
341,2016-07-27,95,True,False,True,True,5,51,3
342,2016-08-16,96,True,True,False,True,5,14,2
343,2016-08-17,78,True,False,True,False,5,3,3
344,2016-08-18,36,True,False,True,False,5,54,2
345,2016-08-20,56,True,False,False,False,6,88,2
346,2016-08-21,52,True,True,False,False,5,41,2
347,2016-08-22,35,True,False,True,False,5,39,2
348,2016-08-23,51,True,False,True,False,5,0,3
349,2016-08-24,54,True,False,True,False,5,49,2
350,2016-08-25,55,True,False,True,False,5,43,2
351,2016-08-26,46,True,False,True,False,5,7,4
352,2016-08-27,48,True,False,False,False,5,63,4
353,2016-08-28,36,True,False,False,False,5,18,3
354,2016-08-29,40,True,False,True,False,5,39,2
355,2016-08-30,49,True,False,True,False,5,29,2
356,2016-08-31,49,True,False,True,False,5,17,3
357,2016-09-02,67,True,False,False,False,6,9,3
358,2016-09-04,61,True,False,False,False,5,62,3
359,2016-09-05,41,False,True,True,False,6,20,1
360,2016-09-06,70,False,True,True,False,5,40,2
361,2016-09-07,69,False,True,True,False,5,20,3
362,2016-09-08,61,False,True,True,False,5,11,2
