,Start,End,Sleep quality,Time in bed,Start day,Start time,End time,Drank coffee,Drank tea,Worked out,Stressful day,Ate late,Sleep cycle,Previous day time in bed
202,2015-11-02 22:00:53,2015-11-02 22:00:53,83,489,Mon,22,22,True,True,True,False,False,5,408
203,2015-11-03 22:46:00,2015-11-03 22:46:00,75,443,Tue,22,22,True,True,True,False,False,4,489
204,2015-11-04 22:49:17,2015-11-04 22:49:17,65,431,Wed,22,22,True,True,True,False,False,4,443
205,2015-11-05 21:36:52,2015-11-05 21:36:52,77,472,Thur,21,21,True,True,True,False,False,5,431
206,2015-11-07 00:19:42,2015-11-07 00:19:42,93,474,Sat,0,0,True,True,True,False,False,5,472
207,2015-11-08 23:28:38,2015-11-08 23:28:38,69,412,Sun,23,23,True,True,False,False,False,4,474
208,2015-11-09 21:59:54,2015-11-09 21:59:54,88,461,Mon,21,21,True,True,True,False,False,5,412
209,2015-11-10 22:56:22,2015-11-10 22:56:22,83,452,Tue,22,22,True,True,True,False,False,5,461
210,2015-11-11 22:57:35,2015-11-11 22:57:35,72,443,Wed,22,22,True,True,False,False,False,4,452
211,2015-11-13 22:59:58,2015-11-13 22:59:58,96,526,Fri,22,22,True,True,False,False,False,5,443
212,2015-11-15 22:17:12,2015-11-15 22:17:12,72,493,Sun,22,22,True,True,False,False,False,5,526
213,2015-11-18 22:07:28,2015-11-18 22:07:28,80,443,Wed,22,22,True,True,True,False,True,4,493
214,2015-11-19 23:10:23,2015-11-19 23:10:23,73,410,Thur,23,23,True,True,True,False,False,4,443
215,2015-11-22 21:57:39,2015-11-22 21:57:39,83,453,Sun,21,21,False,True,False,False,False,5,410
216,2015-11-23 22:15:24,2015-11-23 22:15:24,74,404,Mon,22,22,True,True,True,False,False,4,453
217,2015-11-24 22:33:40,2015-11-24 22:33:40,87,477,Tue,22,22,True,True,True,False,False,5,404
218,2015-11-25 23:26:02,2015-11-25 23:26:02,69,414,Wed,23,23,True,True,True,False,False,4,477
219,2015-11-26 22:25:29,2015-11-26 22:25:29,81,475,Thur,22,22,True,True,True,False,False,5,414
220,2015-11-28 01:20:50,2015-11-28 01:20:50,58,385,Sat,1,1,True,True,True,False,False,4,475
221,2015-11-29 22:20:20,2015-11-29 22:20:20,68,479,Sun,22,22,False,True,False,False,False,5,385
222,2015-11-30 21:23:47,2015-11-30 21:23:47,64,535,Mon,21,21,True,True,True,False,False,5,479
223,2015-12-01 23:03:32,2015-12-01 23:03:32,84,437,Tue,23,23,True,True,True,False,False,4,535
224,2015-12-02 22:19:31,2015-12-02 22:19:31,75,411,Wed,22,22,True,True,False,False,False,4,437
225,2015-12-03 22:51:20,2015-12-03 22:51:20,70,369,Thur,22,22,True,True,False,False,True,4,411
226,2015-12-06 22:10:17,2015-12-06 22:10:17,86,440,Sun,22,22,True,True,False,False,False,4,369
227,2015-12-07 21:20:30,2015-12-07 21:20:30,86,460,Mon,21,21,False,True,True,True,False,5,440
228,2015-12-08 22:17:33,2015-12-08 22:17:33,79,448,Tue,22,22,True,True,True,True,False,4,460
229,2015-12-09 21:57:33,2015-12-09 21:57:33,93,493,Wed,21,21,False,True,True,True,False,5,448
230,2015-12-13 00:08:26,2015-12-13 00:08:26,77,494,Sun,0,0,True,False,False,False,False,5,493
231,2015-12-13 22:07:01,2015-12-13 22:07:01,80,482,Sun,22,22,True,False,False,False,False,5,494
232,2015-12-15 22:32:48,2015-12-15 22:32:48,75,457,Tue,22,22,True,True,True,False,False,5,482
233,2015-12-16 22:20:47,2015-12-16 22:20:47,84,440,Wed,22,22,True,True,False,True,False,4,457
234,2015-12-17 21:07:49,2015-12-17 21:07:49,100,517,Thur,21,21,True,True,True,False,False,5,440
235,2015-12-20 22:19:20,2015-12-20 22:19:20,72,480,Sun,22,22,True,True,True,False,False,5,517
236,2015-12-21 22:06:14,2015-12-21 22:06:14,80,443,Mon,22,22,True,False,True,False,False,4,480
237,2015-12-22 21:41:31,2015-12-22 21:41:31,82,481,Tue,21,21,True,True,True,False,False,5,443
238,2015-12-23 22:33:13,2015-12-23 22:33:13,79,447,Wed,22,22,True,True,False,False,False,4,481
239,2015-12-29 22:44:12,2015-12-29 22:44:12,76,496,Tue,22,22,True,False,False,False,False,5,447
240,2016-01-01 23:53:45,2016-01-01 23:53:45,79,513,Fri,23,23,True,True,False,False,False,5,496
241,2016-01-02 23:49:43,2016-01-02 23:49:43,85,504,Sat,23,23,True,True,False,False,False,5,513
242,2016-01-03 21:44:08,2016-01-03 21:44:08,69,471,Sun,21,21,True,False,False,False,False,5,504
243,2016-01-04 22:17:03,2016-01-04 22:17:03,74,448,Mon,22,22,True,True,False,True,False,4,471
244,2016-01-05 22:18:45,2016-01-05 22:18:45,66,481,Tue,22,22,True,False,True,False,False,5,448
245,2016-01-13 22:44:29,2016-01-13 22:44:29,72,455,Wed,22,22,True,True,False,True,True,5,481
246,2016-01-14 22:10:58,2016-01-14 22:10:58,73,437,Thur,22,22,True,True,True,False,False,4,455
247,2016-01-17 22:00:46,2016-01-17 22:00:46,76,449,Sun,22,22,True,True,True,False,False,4,437
248,2016-01-18 21:56:26,2016-01-18 21:56:26,78,458,Mon,21,21,True,True,False,False,True,5,449
249,2016-01-19 22:46:50,2016-01-19 22:46:50,75,468,Tue,22,22,True,True,True,False,False,5,458
250,2016-01-20 21:13:40,2016-01-20 21:13:40,77,555,Wed,21,21,True,True,False,False,False,6,468
251,2016-01-21 21:33:27,2016-01-21 21:33:27,79,530,Thur,21,21,True,False,False,False,False,5,555
252,2016-01-22 22:17:12,2016-01-22 22:17:12,79,597,Fri,22,22,True,False,True,False,False,6,530
253,2016-01-24 22:06:59,2016-01-24 22:06:59,85,503,Sun,22,22,True,True,True,False,False,5,597
254,2016-01-25 22:27:55,2016-01-25 22:27:55,88,490,Mon,22,22,True,False,False,False,False,5,503
